"Game"	"Platform"	"Score"	"Genre"
"Madden NFL 25"	"PS4"	7.6	"Sports"
"Madden NFL 25"	"XOne"	7.6	"Sports"
"The Legend of Zelda: A Link Between Worlds"	"3DS"	9.4	"Adventure"
"PS4"	"PS4"	8.2	"None"
"Killzone: Shadow Fall"	"PS4"	8	"Shooter"
"Knack"	"PS4"	5.9	"Action"
"Resogun"	"PS4"	9	"Shooter"
"Contrast"	"PC"	7.5	"Puzzle, Action"
"Contrast"	"PS4"	7.5	"Puzzle, Action"
"Flower"	"PS4"	9.5	"Action"
"Stick it to The Man"	"PS3"	8.6	"Adventure, Platformer"
"NBA 2K14"	"PS4"	8.9	"Sports"
"NBA 2K14"	"XOne"	8.9	"Sports"
"Regular Show: Mordecai and Rigby in 8-Bit Land"	"3DS"	6.2	"Action"
"Ratchet &amp; Clank: Into the Nexus"	"PS3"	8.2	"Platformer"
"Bioshock Infinite: Burial at Sea -- Episode One"	"PC"	7	"Shooter"
"Bioshock Infinite: Burial at Sea -- Episode One"	"X360"	7	"Shooter"
"Bioshock Infinite: Burial at Sea -- Episode One"	"PS3"	7	"Shooter"
"Professor Layton and the Azran Legacy"	"3DS"	8.5	"Adventure"
"XCOM: Enemy Within -- Commander Edition"	"PS3"	9	"Strategy"
"XCOM: Enemy Within -- Commander Edition"	"X360"	9	"Strategy"
"XCOM: Enemy Within"	"PC"	9	"Strategy"
"Path of Exile "	"PC"	8.8	"Action, RPG"
"Mario &amp; Sonic at the Sochi 2014 Olympic Winter Games"	"WiiU"	4.5	"Sports"
"Rayman Fiesta Run"	"iPhone"	8.9	"Platformer"
"Call of Duty: Ghosts"	"PS4"	8.8	"Shooter"
"Call of Duty: Ghosts"	"PS3"	8.8	"Shooter"
"Call of Duty: Ghosts"	"PC"	8.8	"Shooter"
"Call of Duty: Ghosts"	"XOne"	8.8	"Shooter"
"Call of Duty: Ghosts"	"X360"	8.8	"Shooter"
"Call of Duty: Ghosts"	"WiiU"	8.8	"Shooter"
"Hometown Story"	"3DS"	5	"Adventure"
"SpongeBob SquarePants: Plankton's Robotic Revenge"	"PS3"	3.5	"Adventure"
"Football Manager 2014"	"PC"	8	"Sports, Simulation"
"Football Manager 2014"	"Macintosh"	8	"Sports, Simulation"
"Football Manager 2014"	"Linux"	8	"Sports, Simulation"
"Nickelodeon's Teenage Mutant Ninja Turtles"	"3DS"	5	"Action"
"Assassin's Creed IV: Black Flag"	"PS4"	8.5	"Action, Adventure"
"Assassin's Creed IV: Black Flag"	"WiiU"	8.5	"Action, Adventure"
"Assassin's Creed IV: Black Flag"	"PC"	8.5	"Action, Adventure"
"Assassin's Creed IV: Black Flag"	"PS3"	8.5	"Action, Adventure"
"Assassin's Creed IV: Black Flag"	"X360"	8.5	"Action, Adventure"
"Assassin's Creed IV: Black Flag"	"XOne"	8.5	"Action, Adventure"
"Battlefield 4"	"PC"	8.5	"Shooter"
"Battlefield 4"	"X360"	8	"Shooter"
"Battlefield 4"	"PS3"	8	"Shooter"
"WWE 2K14"	"X360"	8.7	"Wrestling"
"WWE 2K14 "	"PS3"	8.7	"Wrestling"
"Prime World"	"PC"	5.9	"RPG"
"Batman: Arkham Origins Blackgate -- Deluxe Edition"	"PC"	7.4	"Action"
"Batman: Arkham Origins Blackgate -- Deluxe Edition"	"PS3"	7.4	"Action"
"Batman: Arkham Origins Blackgate -- Deluxe Edition"	"X360"	7.4	"Action"
"Batman: Arkham Origins Blackgate"	"3DS"	7.4	"Action"
"Batman: Arkham Origins Blackgate"	"PSV"	7.4	"Action"
"Batman: Arkham Origins"	"PC"	7.8	"Action"
"Batman: Arkham Origins"	"X360"	7.8	"Action"
"Batman: Arkham Origins"	"PS3"	7.8	"Action"
"Batman: Arkham Origins"	"WiiU"	7.8	"Action"
"Phoenix Wright: Ace Attorney -- Dual Destinies"	"3DS"	7.2	"Adventure"
"How to Survive"	"PC"	5.4	"Action"
"How to Survive"	"X360"	5.4	"Action"
"Wii Party U"	"WiiU"	7.5	"Party"
"Sonic: Lost World"	"3DS"	6.8	"Platformer"
