"Game"	"Platform"	"Score"	"Genre"
"Friends: The One With All The Trivia"	"PS2"	5	"Trivia"
"Tony Hawk's American Wasteland (Collector's Edition)"	"PS2"	8.5	"Sports"
"Donkey Kong Country 3"	"GBA"	7.5	"Platformer"
"Viewtiful Joe: Double Trouble"	"DS"	8.5	"Action"
"Gun"	"PS2"	8	"Shooter"
"20Q"	"Wireless"	7.7	"Party"
"Bratz Rock Angelz"	"GC"	7.5	"Adventure"
"Need for Speed Most Wanted 5-1-0"	"PSP"	7.5	"Racing"
"Codename: Kids Next Door -- Operation: V.I.D.E.O.G.A.M.E."	"XB"	4	"Action"
"The Movies"	"PC"	8	"Simulation"
"Gun"	"XB"	8	"Shooter"
"Gun"	"GC"	8	"Shooter"
"Gun"	"PC"	8	"Shooter"
"Bratz Rock Angelz"	"PC"	7.5	"Adventure"
"Mall Tycoon 3 "	"PC"	6.8	"Simulation"
"Taito Legends"	"PS2"	7.8	"Action, Compilation"
"Crash Tag Team Racing"	"Wireless"	7.2	"Racing"
"Mario Party 7"	"GC"	7	"Party"
"Star Wars: Republic Commando: Order 66"	"Wireless"	8.4	"Action"
"SOCOM: U.S. Navy SEALs Fireteam Bravo"	"PSP"	8.3	"Shooter"
"Suikoden Tactics"	"PS2"	7.3	"Strategy, RPG"
"The Lord of the Rings: Tactics"	"PSP"	7.7	"Strategy"
"Without Warning"	"PS2"	4	"Action"
"Heroes of the Pacific"	"PS2"	8.1	"Flight, Action"
"Heroes of the Pacific"	"XB"	8	"Flight, Action"
"Chicken Little"	"XB"	7	"Action"
"Call of Cthulhu: Dark Corners of the Earth"	"XB"	8.2	"Adventure"
"Chicken Little"	"GC"	7	"Action"
"Ce-Lo"	"Wireless"	7	"Casino"
"Without Warning"	"XB"	4	"Action"
"Family Guy: Stewie 2.0"	"Wireless"	6.6	"Action"
"Heroes of the Pacific"	"PC"	8	"Flight, Action"
"Chicken Little"	"PS2"	6.9	"Action"
"WWE SmackDown vs. Raw 2006"	"PS2"	9.2	"Wrestling"
"NBA Basketball 2006"	"Wireless"	7	"Sports"
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare"	"XB"	5.5	"Action"
"Fatal Frame III: The Tormented"	"PS2"	7.8	"Adventure"
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare"	"PS2"	5.5	"Action"
"Snood 2"	"Wireless"	7.9	"Puzzle"
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare "	"GC"	5.5	"Action"
"SpongeBob SquarePants: Lights, Camera, PANTS!"	"PS2"	7	"Party"
"Star Wars Battlefront II"	"PS2"	7	"Shooter"
"Sniper Elite"	"PC"	7.5	"Action"
"SpongeBob SquarePants: Lights, Camera, PANTS!"	"XB"	7	"Party"
"Star Wars Battlefront II"	"PC"	7	"Shooter"
"SpongeBob SquarePants: Lights, Camera, PANTS!"	"GC"	7	"Party"
"Guitar Hero (Game &amp; Guitar Controller)"	"PS2"	9.2	"Music"
"NBA '06: Featuring The Life Vol. 1"	"PS2"	6.9	"Sports"
"Star Wars Battlefront II"	"XB"	7	"Shooter"
"Call of Duty 2: Big Red One"	"GC"	8	"Shooter"
"Call of Duty 2: Big Red One"	"XB"	8.5	"Shooter"
"Star Wars Battlefront II"	"PSP"	7.8	"Action"
"Codename: Kids Next Door -- Operation: V.I.D.E.O.G.A.M.E."	"GC"	4	"Action"
"Vietcong 2"	"PC"	6.8	"Shooter"
"Mega Man Battle Network 5: Double Team DS"	"DS"	6.5	"RPG"
"Star Wars Battlefront Mobile"	"Wireless"	9	"Shooter"
"Shattered Union"	"XB"	7.8	"Strategy"
"Call of Duty 2: Big Red One"	"PS2"	8	"Shooter"
"From Russia With Love"	"XB"	7.9	"Action"
"Greg Hastings' Tournament Paintball Max'd"	"XB"	7.5	"Shooter"
"Castlevania: Curse of Darkness"	"PS2"	7.8	"Action, Adventure"
"Castlevania: Curse of Darkness"	"XB"	7.8	"Action, Adventure"
"Zoo Keeper DX"	"Wireless"	7.7	"Puzzle"
"From Russia With Love"	"PS2"	7.9	"Action"
"Tim Burton's The Nightmare Before Christmas: The Pumpkin King "	"GBA"	6.5	"Action"
"Tomb Raider: The Osiris Codex"	"Wireless"	8	"Adventure"
"Codename: Kids Next Door -- Operation: V.I.D.E.O.G.A.M.E."	"PS2"	4	"Action"
"From Russia With Love"	"GC"	7.9	"Action"
"Zoo Tycoon DS"	"DS"	4	"Simulation"
"Shattered Union"	"PC"	7.5	"Strategy"
"Marine Park Empire"	"PC"	7	"Simulation"
"MLSN Sports Picks"	"Wireless"	8.9	"Trivia"
"NBA Slam"	"Wireless"	7.7	"Sports"
"Shrek SuperSlam"	"XB"	7	"Fighting"
"Shrek SuperSlam"	"GC"	7	"Fighting"
"LEGO Star Wars: The Video Game"	"GC"	8	"Action, Adventure"
"Glimmerati"	"N-Gage"	8.1	"Racing"
"Shrek SuperSlam"	"PS2"	7	"Fighting"
"FIFA Soccer 06"	"PSP"	7.4	"Sports"
"The Weakest Link"	"Wireless"	5	"Trivia"
"Splat Magazine Renegade Paintball"	"XB"	5.2	"Shooter"
"Ty the Tasmanian Tiger: Night of the Quinkan"	"XB"	6.9	"Platformer"
"The Sims 2"	"GC"	8.5	"Simulation"
"The Sims 2"	"PS2"	8.5	"Simulation"
"Brothers in Arms: Earned in Blood"	"PS2"	5	"Shooter"
"Splat Magazine Renegade Paintball"	"PC"	4	"Shooter"
"Spyro: Shadow Legacy"	"DS"	4	"RPG"
"Ty the Tasmanian Tiger: Night of the Quinkan"	"PS2"	6.9	"Platformer"
"Ratchet: Deadlocked"	"PS2"	8.8	"Action"
"Red Faction "	"Wireless"	6.4	"Shooter"
"Ty the Tasmanian Tiger: Night of the Quinkan"	"GC"	6.9	"Platformer"
"The Sims 2"	"XB"	8.5	"Simulation"
"Dance Dance Revolution: Mario Mix"	"GC"	8	"Music"
"Conflict: Global Terror"	"XB"	6	"Action"
"The Sims 2"	"DS"	8.2	"Simulation"
"The Con"	"PSP"	6.2	"Fighting"
"Soulcalibur III"	"PS2"	8.5	"Fighting"
"X-Men Legends II: Rise of Apocalypse"	"PSP"	8.4	"Action, RPG"
"Call of Duty 2"	"PC"	8.5	"Shooter"
"Midway Arcade Treasures 3"	"GC"	6.5	"Racing, Compilation"
"Grand Theft Auto: Liberty City Stories"	"PSP"	9	"Action"
"Fable: The Lost Chapters"	"XB"	8.6	"Action, RPG"
"Serenity"	"Wireless"	7.4	"Shooter"
"Spartan: Total Warrior"	"GC"	7.9	"Action"
"World Poker Tour"	"XB"	7	"Casino"
"World Poker Tour"	"PS2"	7	"Card"
"World Poker Tour"	"GBA"	7	"Casino"
"RollerCoaster Tycoon 3: Wild!"	"PC"	7.9	"Simulation"
"Stubbs the Zombie in &quot;Rebel without a Pulse&quot;"	"XB"	8.1	"Action"
"Spartan: Total Warrior"	"PS2"	7.9	"Action"
"Spartan: Total Warrior"	"XB"	7.9	"Action"
"Bratz Rock Angelz"	"PS2"	7.5	"Adventure"
"Resident Evil 4"	"PS2"	9.5	"Action, Adventure"
"Crash Tag Team Racing"	"PS2"	7.4	"Racing, Action"
"Gretzky NHL 06 "	"PSP"	7	"Sports"
"The Legend of Zorro"	"Wireless"	6.9	"Action"
"Metroid Prime Pinball"	"DS"	8	"Pinball"
"Wonder Boy"	"Wireless"	7.1	"Platformer"
"Gunstar Super Heroes"	"GBA"	9	"Action"
"Crash Tag Team Racing"	"XB"	7.4	"Racing, Action"
"Sid Meier's Civilization IV"	"PC"	9.4	"Strategy"
"Marvel Nemesis: Rise of the Imperfects"	"DS"	2.5	"Fighting"
"Dig Dug: Digging Strike"	"DS"	6	"Action"
"Ghost in the Shell: Stand Alone Complex"	"PSP"	6.2	"Action"
"Worms 4: Mayhem"	"PC"	7.5	"Strategy"
"Sniper Elite"	"XB"	7.7	"Shooter"
"Tony Hawk's American Wasteland"	"GC"	8.5	"Sports"
"Tony Hawk's American Wasteland"	"XB"	8.5	"Sports"
"Sniper Elite"	"PS2"	7.6	"Action, Adventure"
"Conflict: Global Terror"	"PC"	6	"Action"
"Mega Man Zero 4"	"GBA"	7.5	"Action"
"NCAA March Madness 06"	"PS2"	8.7	"Sports"
"Tony Hawk's American Wasteland"	"PS2"	8.5	"Sports"
"Jak X: Combat Racing"	"PS2"	8	"Racing"
"Blitz: The League"	"XB"	7.2	"Sports, Action"
"NCAA March Madness 06"	"XB"	8.7	"Sports"
"Derek Jeter Pro Baseball 2005 3D"	"Wireless"	9.2	"Sports"
"Blitz: The League"	"PS2"	7.2	"Sports, Action"
"Battlefield 2: Modern Combat"	"PS2"	8.5	"Shooter"
"Battlefield 2: Modern Combat "	"XB"	8.5	"Shooter"
"Conflict: Global Terror"	"PS2"	6	"Action"
"NBA Live 06"	"PSP"	7.8	"Sports"
"The Warriors"	"PS2"	8.7	"Action"
"Shadow of the Colossus"	"PS2"	9.7	"Adventure"
"Evil Dead Regeneration"	"PC"	6.6	"Action"
"The Warriors"	"XB"	8.7	"Action"
"Brothers in Arms: Earned in Blood"	"Wireless"	7.5	"Action"
"Stick Fighter Fury"	"Wireless"	8	"Action"
"Fire Emblem: Path of Radiance"	"GC"	8.7	"Strategy, RPG"
"AMF Xtreme Bowling for Prizes"	"Wireless"	5	"Sports"
"Devil Kings"	"PS2"	5.9	"Action"
"Age of Empires III"	"PC"	8.8	"Strategy"
"Dragon Ball Z Budokai Tenkaichi"	"PS2"	8.2	"Fighting"
"Cold War"	"XB"	5.8	"Action"
"DT Racer"	"PS2"	3.2	"Racing"
"FIFA Soccer 06"	"DS"	8.1	"Sports"
"Worms 4: Mayhem"	"XB"	6.4	"Strategy"
"Quake 4"	"PC"	8.1	"Shooter"
"L.A. Rush"	"PS2"	5.6	"Racing"
"Alone: The Horror Begins"	"Wireless"	8.5	"Action"
"L.A. Rush"	"XB"	6	"Racing"
"NHL 5-on-5 2006"	"Wireless"	8.3	"Sports"
"Breeders' Cup World Thoroughbred Championships"	"XB"	4.3	"Sports"
"F.E.A.R."	"PC"	9.2	"Shooter"
"Serious Sam II "	"XB"	8	"Shooter"
"Breeders' Cup World Thoroughbred Championships"	"PS2"	4.3	"Sports"
"Ultimate Spider-Man"	"Wireless"	7.2	"Action"
"TЯAPT"	"PS2"	7.5	"Strategy"
"Serious Sam II"	"PC"	8.2	"Shooter"
"Phoenix Wright: Ace Attorney"	"DS"	7.8	"Adventure"
"SOCOM: U.S. Navy SEALs Mobile Recon"	"Wireless"	9	"Action"
"Zatch Bell!: Mamodo Battles"	"PS2"	5	"Fighting"
"SSX On Tour"	"PSP"	8.4	"Sports"
"Doom 3: Resurrection of Evil"	"XB"	7.8	"Shooter"
"SSX On Tour"	"XB"	8.8	"Sports"
"SSX On Tour"	"PS2"	8.8	"Sports"
"SSX On Tour"	"GC"	8.8	"Sports"
"Frogger: Helmet Chaos"	"PSP"	6.8	"Puzzle, Action"
"Frogger: Helmet Chaos"	"DS"	6.8	"Puzzle, Action"
"SOCOM 3: U.S. Navy SEALs"	"PS2"	9	"Shooter"
"Trauma Center: Under the Knife"	"DS"	8	"Simulation"
"Bet On Soldier: Blood Sport"	"PC"	7	"Shooter"
"Tim Burton's The Nightmare Before Christmas: Oogie's Revenge"	"XB"	6	"Action, Adventure"
"Pokemon XD: Gale of Darkness"	"GC"	6.8	"RPG"
"Tim Burton's The Nightmare Before Christmas: Oogie's Revenge"	"PS2"	6	"Action, Adventure"
"California Games"	"Wireless"	7	"Sports"
"Brothers in Arms: Earned in Blood"	"XB"	8.2	"Shooter"
"Duke Nukem Mobile II: Bikini Project"	"Wireless"	7.9	"Action"
"Looney Tunes Cannonball Follies"	"Wireless"	7.9	"Action"
"Brothers in Arms: Earned in Blood "	"PC"	8.8	"Shooter"
"Xyanide Mobile"	"Wireless"	7.7	"Shooter"
"Castlevania: Dawn of Sorrow"	"DS"	9.3	"Action, Adventure"
"Virtua Tennis World Tour"	"PSP"	8.5	"Sports, Action"
"D12 Pro Wrestling"	"Wireless"	6.4	"Wrestling"
"Backyard Football 2006"	"PS2"	5.5	"Sports, Action"
"Bone: Out From Boneville"	"PC"	5.9	"Adventure"
"Blitzkrieg II"	"PC"	8.4	"Strategy"
"Cold War"	"PC"	5.8	"Action"
"Tak: The Great Juju Challenge"	"DS"	6.2	"Platformer"
"Whac-A-Mole"	"DS"	5	"Action"
"Dance Dance Revolution Extreme 2"	"PS2"	7.5	"Music"
"FIFA Soccer 06"	"XB"	8.7	"Sports"
"Kingdom Under Fire: Heroes"	"XB"	8.5	"Strategy"
"Ultimate Spider-Man"	"PC"	8.4	"Action"
"FIFA Soccer 06"	"GC"	8.5	"Sports"
"FIFA Soccer 06"	"PS2"	8.7	"Sports"
"Rome: Total War -- Barbarian Invasion"	"PC"	8.8	"Strategy"
"Wallace &amp; Gromit: The Curse of the Were-Rabbit"	"PS2"	6.5	"Action, Adventure"
"DICE: DNA Integrated Cybernetic Enterprises"	"PS2"	5.5	"Action"
"Lunar: Dragon Song"	"DS"	6.3	"RPG"
"Lost in Blue"	"DS"	6.8	"Adventure"
"Black &amp; White 2"	"PC"	8.8	"Strategy"
"Day of Defeat: Source"	"PC"	8.4	"Shooter"
"Frogger: Ancient Shadow"	"XB"	5.3	"Platformer"
"Tiger Woods PGA Tour 06 "	"PC"	8.7	"Sports"
"Mobile Suit Gundam SEED: Never Ending Tomorrow"	"PS2"	2.5	"Action"
"Frogger: Ancient Shadow"	"GC"	5.3	"Platformer"
"NBA '06"	"PSP"	7.5	"Sports"
"Frogger: Ancient Shadow"	"PS2"	5.3	"Action"
"Top Spin"	"PS2"	7.4	"Sports"
"Ultimate Spider-Man (Limited Edition)"	"PS2"	8.3	"Action, Adventure"
"NBA 2K6"	"XB"	8	"Sports"
"Far Cry Instincts"	"XB"	9	"Shooter"
"Total Overdose: A Gunslinger's Tale in Mexico"	"PS2"	8	"Action"
"Tiger Woods PGA Tour 06"	"PSP"	8.5	"Sports"
"NBA 2K6"	"PS2"	8	"Sports"
"Total Overdose: A Gunslinger's Tale in Mexico"	"XB"	8	"Action"
"NBA Live 06"	"PS2"	9	"Sports"
"NBA Live 06"	"XB"	9	"Sports"
"Midway Arcade Treasures 3"	"XB"	8.2	"Racing, Compilation"
"Capcom Classics Collection Vol. 1"	"PS2"	8.1	"Action, Compilation"
"S.L.A.I. -Steel Lancer Arena International-"	"PS2"	7	"Action"
"Midway Arcade Treasures 3"	"PS2"	8	"Compilation"
"Capcom Classics Collection Vol. 1"	"XB"	8.1	"Action, Compilation"
"NBA Live 06"	"GC"	9	"Sports"
"NIBIRU: Age of Secrets"	"PC"	6.8	"Adventure"
"Ultimate Spider-Man"	"GC"	8.4	"Action"
"Tiger Woods PGA Tour 06"	"PS2"	8.4	"Sports"
"Trace Memory"	"DS"	6	"Adventure"
"Marvel Nemesis: Rise of the Imperfects "	"GC"	4.8	"Fighting"
"Tiger Woods PGA Tour 06"	"XB"	8.4	"Sports"
"World Series of Poker"	"PSP"	3.3	"Card"
"Marvel Nemesis: Rise of the Imperfects"	"XB"	5.1	"Fighting"
"Jamdat Mahjong"	"Wireless"	8.2	"Board"
"Tiger Woods PGA Tour 06"	"GC"	8.3	"Sports"
"Ultimate Spider-Man"	"XB"	8.4	"Action"
"Dungeons &amp; Dragons: Dragonshard"	"PC"	8.4	"Strategy"
"Marvel Nemesis: Rise of the Imperfects"	"PS2"	5	"Fighting"
"Ultimate Spider-Man"	"PS2"	8.3	"Action, Adventure"
"Myst V: End of Ages"	"PC"	8.8	"Adventure"
"Tak: The Great Juju Challenge"	"XB"	8	"Platformer"
"X-Men Legends II: Rise of Apocalypse"	"PC"	8.5	"Action, RPG"
"Tak: The Great Juju Challenge"	"PS2"	8	"Platformer"
"Gretzky NHL 06"	"PS2"	6.8	"Sports"
"Dynasty Warriors 5"	"XB"	7.7	"Action"
"X-Men Legends II: Rise of Apocalypse"	"PS2"	8.5	"Action, RPG"
"Sly 3: Honor Among Thieves"	"PS2"	8.1	"Platformer"
"Tak: The Great Juju Challenge"	"GC"	8	"Platformer"
"X-Men Legends II: Rise of Apocalypse"	"XB"	8.5	"Action, RPG"
"X-Men Legends II: Rise of Apocalypse"	"GC"	8	"Action, RPG"
"Legend of Kay"	"PS2"	7.5	"Action, Adventure"
"Urban Reign"	"PS2"	6.6	"Action"
"The Suffering: Ties That Bind"	"PC"	8.1	"Action, Adventure"
"The Suffering: Ties That Bind"	"XB"	8.1	"Action"
"Indigo Prophecy "	"PC"	8.4	"Adventure"
"Ultimate Spider-Man"	"DS"	8	"Action"
"Frantix"	"PSP"	6	"Action"
"Duke Nukem Mobile 3D"	"Wireless"	7.8	"Shooter"
"The Suffering: Ties That Bind"	"PS2"	8.1	"Action"
"Doom RPG"	"Wireless"	9	"RPG"
"Madden NFL 06"	"PSP"	8.5	"Sports"
"Armored Core: Nine Breaker"	"PS2"	5.5	"Action, Simulation"
"Indigo Prophecy"	"PS2"	8.4	"Adventure"
"Warhammer 40,000: Dawn of War -- Winter Assault"	"PC"	8.5	"Strategy"
"Indigo Prophecy"	"XB"	8.4	"Adventure"
"Ninja Gaiden Black"	"XB"	9.4	"Action"
"World Series of Poker"	"GC"	3.5	"Card"
"Cabela's Outdoor Adventures [2006]"	"PS2"	6	"Hunting"
"World Series of Poker"	"XB"	3.5	"Card"
"Mortal Kombat: Shaolin Monks"	"XB"	8	"Fighting, Action"
"Mortal Kombat: Shaolin Monks"	"PS2"	8	"Fighting, Action"
"Fable: The Lost Chapters"	"PC"	8.7	"Action, RPG"
"World Series of Poker"	"PS2"	3.5	"Card"
"Genji: Dawn of the Samurai"	"PS2"	7	"Action"
"DK: King of Swing"	"GBA"	7.8	"Action"
"We ♥ Katamari"	"PS2"	8	"Action"
"Gauntlet / Rampart"	"GBA"	4	"Action, Compilation"
"Klax / Marble Madness"	"GBA"	4.5	"Action"
"Battalion Wars"	"GC"	8.8	"Action"
"GripShift "	"PSP"	7.5	"Racing, Action"
"Scooby-Doo! Unmasked"	"PS2"	6.9	"Action"
"Evil Dead Regeneration"	"PS2"	6.8	"Action"
"Spider-Man 2: The Hero Returns"	"Wireless"	7.1	"Action"
"Scooby-Doo! Unmasked"	"GC"	6.9	"Platformer"
"Evil Dead Regeneration"	"XB"	6.8	"Action"
"Maria Sharapova Tennis"	"Wireless"	6.8	"Sports"
"Scooby-Doo! Unmasked"	"XB"	6.9	"Action"
"Burnout Legends"	"PSP"	8.5	"Racing"
"New Rally-X"	"Wireless"	6.5	"Racing"
"The Sims 2: Nightlife"	"PC"	8.2	"Simulation"
"MediEvil Resurrection"	"PSP"	7.3	"Action, Adventure"
"Major Carnage 3D"	"Wireless"	5.7	"Action"
"Pac-Man's Arcade Corner"	"Wireless"	7	"Music"
"NHL 06"	"PC"	8.5	"Sports"
"NHL 06"	"GC"	8.5	"Sports"
"Stealth"	"Wireless"	7.6	"Shooter"
"Atari Legends Vol. 1"	"Wireless"	4.5	"Action"
"Pump It Up: Exceed (Game &amp; Dance Pad)"	"PS2"	7.2	"Music"
"Skipping Stone"	"Wireless"	9	"Other, Action"
"Tom Clancy's Rainbow Six: Lockdown"	"XB"	7.8	"Shooter"
"Rebelstar Tactical Command"	"GBA"	7.7	"Strategy"
"Marc Ecko's Getting Up"	"Wireless"	8.2	"Action"
"NHL 06"	"PS2"	8.5	"Sports"
"Tom Clancy's Rainbow Six: Lockdown"	"PS2"	7.6	"Shooter"
"NHL 06 "	"XB"	8.5	"Sports"
"Burnout Revenge"	"PS2"	8.9	"Racing"
"Burnout Revenge"	"XB"	8.9	"Racing"
"NHL 2K6"	"PS2"	8.7	"Sports"
"Blackjack Hustler"	"Wireless"	7	"Card"
"NHL 2K6"	"XB"	8.7	"Sports"
"Massive Snowboarding"	"Wireless"	9	"Racing"
"Radiata Stories"	"PS2"	8	"RPG"
"JAMDAT Sports NFL 2006"	"Wireless"	8.5	"Sports"
"Tecmo Classic Arcade"	"XB"	4.8	"Action, Compilation"
"Tom and Jerry: Food Fight"	"Wireless"	6.8	"Action"
"Splashdown: Rides Gone Wild"	"Wireless"	6.2	"Racing"
"Clue SFX"	"Wireless"	7.4	"Puzzle"
"NASCAR 06: Total Team Control"	"XB"	8.5	"Racing"
"NASCAR 06: Total Team Control"	"PS2"	8.5	"Racing"
"Namco Museum: 50th Anniversary"	"GC"	5	"Compilation"
"Namco Museum: 50th Anniversary"	"PS2"	5	"Compilation"
"One Piece Grand Battle!"	"GC"	7	"Action"
"One Piece Grand Battle!"	"PS2"	7	"Fighting, Action"
"Water Balloon Drop"	"Wireless"	6.7	"Action"
"Namco Museum: 50th Anniversary"	"XB"	5	"Compilation"
"Namco Museum: 50th Anniversary"	"GBA"	6	"Compilation"
"InuYasha: Feudal Combat"	"PS2"	4	"Fighting"
"Space Invaders Revolution"	"DS"	5	"Shooter"
"Dynasty Warriors Advance"	"GBA"	4	"Action"
"NHRA Championship Drag Racing "	"PS2"	7.3	"Racing, Simulation"
"Tony Hawk's Pro Skater 3D"	"Wireless"	7.6	"Sports"
"Yu-Gi-Oh! Nightmare Troubadour"	"DS"	7	"Card, Battle"
"187 Ride or Die"	"PS2"	5	"Racing, Action"
"WWE Day of Reckoning 2"	"GC"	8.5	"Wrestling"
"MotoGP 3: Ultimate Racing Technology"	"XB"	8.9	"Racing"
"187 Ride or Die"	"XB"	5	"Racing, Action"
"Metal Slug 4 &amp; 5"	"XB"	6.1	"Shooter"
"Mario Superstar Baseball"	"GC"	7.9	"Sports, Action"
"Big Mutha Truckers 2"	"XB"	5.5	"Racing"
"The King of Fighters 02/03"	"XB"	7	"Fighting, Compilation"
"Namco Museum Battle Collection"	"PSP"	7.5	"Action, Compilation"
"Big Mutha Truckers 2"	"PS2"	5.5	"Racing"
"Paperboy / Rampage"	"GBA"	4	"Action, Compilation"
"Big Mutha Truckers 2"	"PC"	5.5	"Racing"
"Beat Down: Fists of Vengeance"	"PS2"	4.6	"Action"
"Beat Down: Fists of Vengeance"	"XB"	4.6	"Action"
"Hello Kitty Roller Rescue"	"GC"	6	"Action"
"1000 Words"	"Wireless"	8	"Puzzle"
"Harry Potter: Find Scabbers"	"Wireless"	5	"Action"
"Madden NFL 06"	"PC"	8.8	"Sports"
"Midtown Madness 3 Mobile (3D Edition)"	"Wireless"	6.6	"Racing"
"Pac'n Roll"	"DS"	8	"Action"
"NFL Football 2006"	"Wireless"	7.8	"Sports"
"Advance Wars: Dual Strike"	"DS"	9	"Strategy"
"Sonic Gems Collection "	"GC"	7.5	"Action, Compilation"
"Nintendogs: Lab &amp; Friends"	"DS"	8.8	"Virtual Pet"
"Nintendogs: Dachshund &amp; Friends"	"DS"	8.8	"Virtual Pet"
"Nintendogs: Chihuahua &amp; Friends"	"DS"	8.8	"Virtual Pet"
"BloodRayne 2"	"PC"	6.8	"Action"
"Sigma Star Saga"	"GBA"	6	"Shooter"
"Independence Day"	"Wireless"	7.5	"Flight"
"The Incredible Hulk: Ultimate Destruction"	"XB"	8.4	"Action"
"The Incredible Hulk: Ultimate Destruction"	"PS2"	8.4	"Action"
"The Incredible Hulk: Ultimate Destruction"	"GC"	8.4	"Action"
"Dungeon Siege II"	"PC"	8.5	"RPG"
"Medieval Combat: Age of Glory"	"Wireless"	8.6	"Fighting"
"Harvest Moon: More Friends of Mineral Town"	"GBA"	8.5	"RPG"
"Madden NFL 06"	"GC"	8.5	"Sports"
"Geist"	"GC"	7.8	"Shooter"
"Madden NFL 06"	"DS"	6	"Sports"
"Death Jr."	"PSP"	7	"Action, Adventure"
"Madden NFL 06"	"GBA"	7.8	"Sports"
"Darkwatch"	"XB"	7.9	"Shooter"
"EyeToy: Play 2"	"PS2"	7.7	"Party"
"Darkwatch"	"PS2"	7.6	"Shooter"
"Tri-Peaks Solitaire (EA)"	"Wireless"	8.1	"Card"
"Turbo 21"	"Wireless"	6.9	"Card"
"Poppit!"	"Wireless"	7.7	"Puzzle"
"Madden NFL 06 (3D Edition)"	"Wireless"	7.1	"Sports"
"Suzuki TT Superbikes: Real Road Racing "	"PS2"	6.1	"Racing"
"Advent Rising"	"PC"	7.9	"Action"
"Codename: Panzers, Phase Two"	"PC"	8.5	"Strategy"
"Tom Clancy's Rainbow Six: Lockdown"	"Wireless"	7.9	"Shooter"
"Harvest Moon: Another Wonderful Life"	"GC"	7.5	"RPG"
"Makai Kingdom: Chronicles of the Sacred Tome"	"PS2"	8.1	"Strategy, RPG"
"Dodgeball: A True Underdog Story"	"Wireless"	7.8	"Sports"
"Shaman King: Master of Spirits 2"	"GBA"	8	"Action, Adventure"
"Madden NFL 06"	"PS2"	8.8	"Sports"
"The Lord of the Rings Trilogy"	"Wireless"	8.7	"Action"
"Madden NFL 06"	"XB"	8.8	"Sports"
"Tom Clancy's Ghost Recon 2 Summit Strike"	"XB"	8.5	"Shooter"
"Outlaw Tennis"	"PS2"	7	"Sports"
"Outlaw Tennis"	"XB"	7	"Sports"
"Salvo!"	"PC"	6.5	"Strategy"
"The X-Files: The Deserter"	"Wireless"	6.9	"Adventure"
"The X-Files: The Lion's Den"	"Wireless"	5	"Strategy"
"Monopoly [2003]"	"Wireless"	7.2	"Board"
"Delta Force: Black Hawk Down"	"PS2"	5.5	"Shooter"
"Delta Force: Black Hawk Down"	"XB"	6.8	"Shooter"
"Love Triangle: Dating Challenge"	"Wireless"	8	"Simulation"
"Graffiti Kingdom"	"PS2"	6.8	"Action, RPG"
"Pac-Match!"	"Wireless"	7.4	"Puzzle"
"Samurai by JAMDAT"	"Wireless"	7.1	"Action"
"Star Wars Lightsaber Combat"	"Wireless"	5.8	"Fighting"
"FOX Sports Football '06 "	"Wireless"	7.1	"Sports"
"Tom Clancy's Splinter Cell Chaos Theory 3D"	"Wireless"	8	"Action"
"Charlie and the Chocolate Factory"	"XB"	4.5	"Action"
"Colosseum: Road to Freedom"	"PS2"	6	"Action, RPG"
"Charlie and the Chocolate Factory"	"PS2"	4.5	"Action"
"Nanostray"	"DS"	8	"Shooter"
"Charlie and the Chocolate Factory"	"GC"	4.5	"Action"
"Fantastic 4"	"GBA"	5	"Action, Adventure"
"Star Wars: Battle Above Coruscant"	"Wireless"	7.7	"Shooter"
"JAMDAT Mini Golf"	"Wireless"	7.8	"Sports"
"FlatOut [2005]"	"PC"	7	"Racing"
"FlatOut [2005]"	"PS2"	7.5	"Racing, Action"
"FlatOut [2005]"	"XB"	7.5	"Racing, Action"
"Sphinx and the Cursed Mummy"	"Wireless"	7.5	"Action"
"Need for Speed Underground 2"	"Wireless"	8	"Racing"
"Flipnic: Ultimate Pinball"	"PS2"	5.2	"Pinball"
"Crown of Glory"	"PC"	8	"Strategy"
"NCAA Football 06"	"XB"	9.2	"Sports"
"Atelier Iris ~Eternal Mana~"	"PS2"	8	"RPG"
"NCAA Football 06"	"PS2"	9.2	"Sports"
"Mini Golf 2"	"Wireless"	8.2	"Sports"
"Pac-Mania 3D"	"Wireless"	6.1	"Action"
"Boiling Point: Road to Hell"	"PC"	7	"Shooter"
"Coded Arms"	"PSP"	7	"Shooter"
"Sid Meier's Pirates! Live the Life"	"XB"	9.2	"Action, Adventure"
"The King of Fighters: Maximum Impact -- Maniax "	"XB"	7.8	"Fighting"
"Derek Jeter Pro Baseball 2005"	"Wireless"	8.9	"Sports"
"Halo 2 Multiplayer Map Pack"	"XB"	9	"Shooter"
"Killer 7"	"GC"	8.1	"Action, Adventure"
"Killer 7"	"PS2"	7.9	"Action, Adventure"
"Riviera: The Promised Land"	"GBA"	7	"RPG"
"After Burner II"	"Wireless"	5	"Flight, Action"
"Dead to Rights: Reckoning"	"PSP"	5	"Action"
"AstroPop"	"Wireless"	8.2	"Puzzle"
"Wimbledon 2005"	"Wireless"	5	"Sports"
"World Poker Tour: Texas Hold 'Em"	"Wireless"	9	"Card"
